filename,width,height,class,xmin,ymin,xmax,ymax
234_jpg.rf.188d01a4afdd2062d60d53fe8c132ee7.jpg,640,640,Fresh Tomato,43,50,322,230
234_jpg.rf.188d01a4afdd2062d60d53fe8c132ee7.jpg,640,640,Fresh Tomato,20,230,348,480
234_jpg.rf.188d01a4afdd2062d60d53fe8c132ee7.jpg,640,640,Rotten Tomato,422,325,640,640
824_jpg.rf.18953834206d07bb746e4d7aa01bcad0.jpg,640,640,Fresh Tomato,0,49,193,345
824_jpg.rf.18953834206d07bb746e4d7aa01bcad0.jpg,640,640,Fresh Tomato,307,0,635,232
824_jpg.rf.18953834206d07bb746e4d7aa01bcad0.jpg,640,640,Fresh Tomato,0,345,307,524
824_jpg.rf.18953834206d07bb746e4d7aa01bcad0.jpg,640,640,Rotten Tomato,307,345,523,521
good-3-_jpg.rf.188ea2cef670e5f6c893f45ec5de9e6d.jpg,640,640,Fresh Tomato,26,0,363,217
good-3-_jpg.rf.188ea2cef670e5f6c893f45ec5de9e6d.jpg,640,640,Fresh Tomato,473,0,640,151
good-3-_jpg.rf.188ea2cef670e5f6c893f45ec5de9e6d.jpg,640,640,Fresh Tomato,142,345,374,577
good-3-_jpg.rf.188ea2cef670e5f6c893f45ec5de9e6d.jpg,640,640,Rotten Tomato,473,217,640,585
bad-106-_jpg.rf.18cfebd7db6688bdf2386842c3253ab1.jpg,640,640,Fresh Tomato,61,0,281,290
bad-106-_jpg.rf.18cfebd7db6688bdf2386842c3253ab1.jpg,640,640,Rotten Tomato,281,0,597,352
bad-106-_jpg.rf.18cfebd7db6688bdf2386842c3253ab1.jpg,640,640,Rotten Tomato,0,459,149,640
bad-106-_jpg.rf.18cfebd7db6688bdf2386842c3253ab1.jpg,640,640,Fresh Tomato,281,352,425,555
789_jpg.rf.188890265a0cda4c5639b2923d2e101c.jpg,640,640,Fresh Tomato,0,7,266,332
789_jpg.rf.188890265a0cda4c5639b2923d2e101c.jpg,640,640,Fresh Tomato,332,0,640,298
789_jpg.rf.188890265a0cda4c5639b2923d2e101c.jpg,640,640,Fresh Tomato,0,486,307,640
789_jpg.rf.188890265a0cda4c5639b2923d2e101c.jpg,640,640,Fresh Tomato,319,332,640,616
very-good-3-_jpg.rf.188a4990359b66637788f052fe7d0d5c.jpg,640,640,Fresh Tomato,0,19,199,433
1051_jpg.rf.190f430d27bbaa6fd037e9ca80733973.jpg,640,640,Rotten Tomato,94,0,243,396
1051_jpg.rf.190f430d27bbaa6fd037e9ca80733973.jpg,640,640,Fresh Tomato,292,23,628,353
1051_jpg.rf.190f430d27bbaa6fd037e9ca80733973.jpg,640,640,Fresh Tomato,310,396,528,474
bad-73-_jpg.rf.183cdd9daa731807af3bb4d244dddb8f.jpg,640,640,Fresh Tomato,0,0,211,313
bad-73-_jpg.rf.183cdd9daa731807af3bb4d244dddb8f.jpg,640,640,Fresh Tomato,211,0,471,297
bad-73-_jpg.rf.183cdd9daa731807af3bb4d244dddb8f.jpg,640,640,Fresh Tomato,0,429,211,640
bad-73-_jpg.rf.183cdd9daa731807af3bb4d244dddb8f.jpg,640,640,Rotten Tomato,459,384,640,640
very-bad-275-_jpg.rf.18f57fb6a2d3bf87e30aa3edda70e995.jpg,640,640,Rotten Tomato,0,72,241,387
very-bad-275-_jpg.rf.18f57fb6a2d3bf87e30aa3edda70e995.jpg,640,640,Rotten Tomato,414,176,509,271
very-good-231-_jpg.rf.1880df27c5d7a042f7b793ccb4e6e0dd.jpg,640,640,Fresh Tomato,89,0,345,300
very-good-231-_jpg.rf.1880df27c5d7a042f7b793ccb4e6e0dd.jpg,640,640,Fresh Tomato,345,40,640,300
very-good-231-_jpg.rf.1880df27c5d7a042f7b793ccb4e6e0dd.jpg,640,640,Fresh Tomato,0,300,345,525
very-good-231-_jpg.rf.1880df27c5d7a042f7b793ccb4e6e0dd.jpg,640,640,Rotten Tomato,464,300,640,539
384_jpg.rf.18869da09cce96e01ee3014c90fb105b.jpg,640,640,Fresh Tomato,188,220,512,519
197_jpg.rf.1939eba618275a6039e20f25057d688d.jpg,640,640,Fresh Tomato,424,51,640,294
197_jpg.rf.1939eba618275a6039e20f25057d688d.jpg,640,640,Fresh Tomato,0,294,148,500
197_jpg.rf.1939eba618275a6039e20f25057d688d.jpg,640,640,Rotten Tomato,474,331,640,640
good-173-_jpg.rf.18c48dba3ba24802e98623ea0795730f.jpg,640,640,Fresh Tomato,55,101,401,452
218_jpg.rf.18df596b2e9a76a217e7a315def54477.jpg,640,640,Fresh Tomato,128,181,391,474
218_jpg.rf.18df596b2e9a76a217e7a315def54477.jpg,640,640,Fresh Tomato,351,309,640,640
218_jpg.rf.18df596b2e9a76a217e7a315def54477.jpg,640,640,Fresh Tomato,5,438,259,640
752_jpg.rf.193254c6941b6663eddf4a6b9976ca30.jpg,640,640,Fresh Tomato,0,0,198,83
752_jpg.rf.193254c6941b6663eddf4a6b9976ca30.jpg,640,640,Rotten Tomato,306,28,539,211
752_jpg.rf.193254c6941b6663eddf4a6b9976ca30.jpg,640,640,Fresh Tomato,198,334,558,640
304_jpg.rf.18c9509f2531cf4fd073148d5546076c.jpg,640,640,Rotten Tomato,408,132,640,211
304_jpg.rf.18c9509f2531cf4fd073148d5546076c.jpg,640,640,Fresh Tomato,140,229,211,471
304_jpg.rf.18c9509f2531cf4fd073148d5546076c.jpg,640,640,Fresh Tomato,211,227,536,543
good-191-_jpg.rf.18de83bc4bf32e82dd3a6292380b0466.jpg,640,640,Fresh Tomato,7,0,333,196
good-191-_jpg.rf.18de83bc4bf32e82dd3a6292380b0466.jpg,640,640,Rotten Tomato,413,0,640,218
good-191-_jpg.rf.18de83bc4bf32e82dd3a6292380b0466.jpg,640,640,Fresh Tomato,118,523,352,640
good-191-_jpg.rf.18de83bc4bf32e82dd3a6292380b0466.jpg,640,640,Fresh Tomato,424,358,640,630
bad-81-_jpg.rf.195014fbd56f75032420b21764a3ecea.jpg,640,640,Rotten Tomato,0,0,153,259
bad-81-_jpg.rf.195014fbd56f75032420b21764a3ecea.jpg,640,640,Fresh Tomato,367,0,640,280
bad-81-_jpg.rf.195014fbd56f75032420b21764a3ecea.jpg,640,640,Fresh Tomato,0,364,153,584
bad-81-_jpg.rf.195014fbd56f75032420b21764a3ecea.jpg,640,640,Fresh Tomato,153,364,416,560
bad-232-_jpg.rf.18544773e35e14c29dd1435fc1468aa5.jpg,640,640,Fresh Tomato,236,108,477,288
bad-232-_jpg.rf.18544773e35e14c29dd1435fc1468aa5.jpg,640,640,Fresh Tomato,236,392,461,640
191_jpg.rf.19261d589a61dc41f37a02a5e3894040.jpg,640,640,Fresh Tomato,232,219,509,423
101_jpg.rf.1950b698b942128d30861929f1f5fcb6.jpg,640,640,Fresh Tomato,0,0,166,337
101_jpg.rf.1950b698b942128d30861929f1f5fcb6.jpg,640,640,Fresh Tomato,172,27,632,384
101_jpg.rf.1950b698b942128d30861929f1f5fcb6.jpg,640,640,Rotten Tomato,0,384,118,640
101_jpg.rf.1950b698b942128d30861929f1f5fcb6.jpg,640,640,Fresh Tomato,246,384,521,525
101_jpg.rf.1950b698b942128d30861929f1f5fcb6.jpg,640,640,Fresh Tomato,166,490,423,640
101_jpg.rf.1950b698b942128d30861929f1f5fcb6.jpg,640,640,Fresh Tomato,484,384,640,640
good-142-_jpg.rf.18fc6177f6d5cfd76ce4248e495576cf.jpg,640,640,Fresh Tomato,228,49,384,332
good-142-_jpg.rf.18fc6177f6d5cfd76ce4248e495576cf.jpg,640,640,Rotten Tomato,453,0,640,301
good-142-_jpg.rf.18fc6177f6d5cfd76ce4248e495576cf.jpg,640,640,Rotten Tomato,0,401,384,640
good-142-_jpg.rf.18fc6177f6d5cfd76ce4248e495576cf.jpg,640,640,Rotten Tomato,384,347,640,640
036_jpg.rf.195815d4e185f886cc350e26b94b8555.jpg,640,640,Fresh Tomato,31,6,268,280
036_jpg.rf.195815d4e185f886cc350e26b94b8555.jpg,640,640,Fresh Tomato,315,69,640,422
036_jpg.rf.195815d4e185f886cc350e26b94b8555.jpg,640,640,Fresh Tomato,327,435,605,640
209_jpg.rf.18911bc2961989c94e2f828b1bcfb121.jpg,640,640,Fresh Tomato,257,81,358,307
209_jpg.rf.18911bc2961989c94e2f828b1bcfb121.jpg,640,640,Fresh Tomato,0,0,229,240
209_jpg.rf.18911bc2961989c94e2f828b1bcfb121.jpg,640,640,Fresh Tomato,358,97,471,307
